	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene stable ID
7326	11	48967246	48973447	TRIM51CP	ENSG00000249910
7327	19	40844966	40845071	Y_RNA	ENSG00000207281
7328	15	93829464	93829552	AC112693.1	ENSG00000212063
7329	1	104066184	104066501	RN7SKP285	ENSG00000222069
7330	1	51696925	51697028	snoU13	ENSG00000238618
7331	19	40848236	40848348	Y_RNA	ENSG00000206925
7332	16	31519792	31520569	RP11-452L6.7	ENSG00000260625
7333	6	5817654	5818599	RP1-182O16.2	ENSG00000216360
7334	2	143856053	143856398	MTND3P9	ENSG00000227557
7335	15	93844645	93844876	RP11-326A13.3	ENSG00000258971
7336	5	33162285	33162913	RP11-36C20.1	ENSG00000240376
7337	6	111967530	111967630	snoU13	ENSG00000239015
7338	8	31133112	31241795	RP11-566H8.3	ENSG00000253377
7339	21	46340966	46349593	ITGB2-AS1	ENSG00000227039
7340	1	104112175	104113296	ACTG1P4	ENSG00000236085
7341	19	40949343	40949994	CTC-492K19.4	ENSG00000268366
7342	2	143856467	143857502	AC013437.6	ENSG00000225476
7343	1	51716270	51717144	RP11-296A18.5	ENSG00000233406
7344	6	112221692	112223054	RP1-97J1.2	ENSG00000227012
7345	5	33229841	33255659	RP11-113I22.1	ENSG00000251443
7346	19	41112673	41112955	RN7SL758P	ENSG00000266164
7347	1	13182960	13184326	HNRNPCP5	ENSG00000179412
7348	8	31196713	31203995	RP11-566H8.2	ENSG00000254095
7349	11	48981480	48983362	RP11-56P9.8	ENSG00000254517
7350	2	86420149	86420231	MIR4779	ENSG00000265420
7351	17	48286333	48291820	RP11-893F2.5	ENSG00000249406
7352	19	41213960	41214068	RNU6-195P	ENSG00000223284
7353	1	44457031	44462200	CCDC24	ENSG00000159214
7354	6	5851739	5870453	RP3-380B8.4	ENSG00000233064
7355	14	89821404	89822915	RP11-356K23.2	ENSG00000258699
7356	16	31558019	31558558	CTD-2014E2.2	ENSG00000261648
7357	6	112475967	112487670	RP1-142L7.5	ENSG00000237234
7358	2	35444443	35444670	AC013442.1	ENSG00000196085
7359	19	41314430	41317295	CYP2T2P	ENSG00000233622
7360	12	119326239	119326369	SNORA38	ENSG00000201042
7361	16	70010200	70099851	PDXDC2P	ENSG00000196696
7362	15	93855786	94112712	RP11-266O8.1	ENSG00000257060
7363	16	31558126	31559058	VN1R64P	ENSG00000213547
7364	14	89866339	89875813	RP11-33N16.2	ENSG00000258380
7365	17	48290294	48292718	RP11-893F2.15	ENSG00000263176
7366	2	143858499	143858924	AC013437.7	ENSG00000231766
7367	2	35696471	35696552	MIR548AD	ENSG00000265301
7368	5	125695824	125832186	GRAMD3	ENSG00000155324
7369	16	31560464	31564888	CTD-2014E2.6	ENSG00000261475
7370	2	86422713	86423172	RP11-301O19.1	ENSG00000273080
7371	X	123414380	123415272	NPM1P34	ENSG00000232054
7372	6	5918793	5919077	RN7SL221P	ENSG00000239472
7373	6	26383324	26395102	BTN2A2	ENSG00000124508
7374	17	48292055	48292781	RP11-893F2.6	ENSG00000251085
7375	5	33424131	33440725	CTD-2203K17.1	ENSG00000249572
7376	1	13196270	13199067	WI2-2994D6.1	ENSG00000224199
7377	4	113092371	113092683	RP11-477G18.2	ENSG00000243280
7378	9	5765076	5833117	ERMP1	ENSG00000099219
7379	19	41324626	41332677	CYP2F2P	ENSG00000237118
7380	7	142919130	142920162	TAS2R40	ENSG00000221937
7381	2	86574185	86574318	U8	ENSG00000202537
7382	6	112517642	112517748	RNU6-1226P	ENSG00000207044
7383	6	5972645	5974245	PKMP5	ENSG00000215057
7384	1	104210693	104210890	RP5-1108M17.5	ENSG00000234441
7385	2	35696671	35696774	RNU6-1117P	ENSG00000207255
7386	2	143919647	143929741	RP11-190J23.1	ENSG00000257284
7387	6	112538841	112540771	RP1-142L7.9	ENSG00000270661
7388	17	48313206	48313490	SUMO2P7	ENSG00000249838
7389	2	86591259	86591388	SNORA19	ENSG00000251974
7390	5	33502177	33503240	CTD-2233C11.3	ENSG00000249360
7391	1	148555979	148596267	NBPF15	ENSG00000243452
7392	6	41470182	41487590	RP11-328M4.3	ENSG00000226917
7393	6	112555366	112555959	RP1-142L7.8	ENSG00000271208
7394	1	51730588	51731746	RP11-296A18.6	ENSG00000236434
7395	16	103010	107669	SNRNP25	ENSG00000161981
7396	1	104256345	104262493	AMYP1	ENSG00000227408
7397	19	41337126	41343115	CTC-490E21.10	ENSG00000269843
7398	17	48322257	48322365	snoU13	ENSG00000239135
7399	5	86093502	86096097	CTC-493L21.2	ENSG00000248701
7400	2	144052990	144238358	AC096558.1	ENSG00000228655
7401	4	113150717	113152752	RP11-73K9.2	ENSG00000260526
7402	17	48358938	48365216	RP11-893F2.9	ENSG00000251179
7403	1	51795326	51800996	RP11-275F13.1	ENSG00000261664
7404	2	35696782	35696907	AC083939.1	ENSG00000229013
7405	17	45726842	45762871	KPNB1	ENSG00000108424
7406	6	41566461	41566526	MIR4641	ENSG00000266494
7407	1	43232940	43263968	C1orf50	ENSG00000164008
7408	5	66563850	66566010	CTD-2187J20.1	ENSG00000251206
7409	2	86742327	86742431	RNU6-640P	ENSG00000200563
7410	14	89878656	90421003	RP11-33N16.3	ENSG00000259053
7411	8	31354939	31356128	RP11-566H8.1	ENSG00000253275
7412	6	41634644	41635387	NPM1P51	ENSG00000230913
7413	6	112557294	112671296	RP11-506B6.6	ENSG00000226440
7414	19	41396731	41406413	CYP2G1P	ENSG00000130612
7415	12	92562176	92562653	RPL21P106	ENSG00000239201
7416	19	46498339	46524576	CCDC61	ENSG00000104983
7417	1	13351482	13354323	RP11-248D7.2	ENSG00000233394
7418	2	62373548	62374288	AC018462.3	ENSG00000242735
7419	5	33519721	33522335	CTD-2233C11.2	ENSG00000250583
7420	4	113194124	113194472	RP11-73K9.3	ENSG00000272567
7421	8	31455615	31455720	RNA5SP261	ENSG00000222468
7422	1	51837942	51838896	RP11-275F13.3	ENSG00000232027
7423	6	24705089	24721064	C6orf62	ENSG00000112308
7424	15	93960079	93965805	RP11-164C12.2	ENSG00000258909
7425	9	123965437	123965712	RN7SL181P	ENSG00000243738
7426	11	65365226	65382853	MAP3K11	ENSG00000173327
7427	22	21827289	21871822	PI4KAP2	ENSG00000183506
7428	2	86789193	86845889	AC015971.2	ENSG00000228363
7429	2	144053155	144329674	RP11-570L15.2	ENSG00000257640
7430	7	142919163	142919360	AC073342.1	ENSG00000268170
7431	12	92564129	92564229	Y_RNA	ENSG00000199895
7432	6	6046676	6046777	AL157775.1	ENSG00000264121
7433	4	113195228	113195309	Y_RNA	ENSG00000222306
7434	X	123460025	123460108	RP5-1052M9.1	ENSG00000226532
7435	10	124608594	124639157	FAM24B	ENSG00000213185
7436	12	92815307	92877456	RP11-693J15.4	ENSG00000266923
7437	6	6169567	6169642	MIR5683	ENSG00000263572
7438	14	89883698	89886137	FOXN3-AS1	ENSG00000258920
7439	4	113277291	113280975	RTEL1P1	ENSG00000251441
7440	2	144276436	144355571	RP11-570L15.1	ENSG00000258268
7441	1	156499122	156499221	snoU13	ENSG00000238843
7442	4	55087293	55087639	RP11-601I15.1	ENSG00000242670
7443	2	35949825	35950208	MRPL50P1	ENSG00000234587
7444	8	31883735	31996991	NRG1-IT1	ENSG00000253974
7445	8	103268620	103270049	KB-431C1.5	ENSG00000272037
7446	9	124000395	124002367	RP11-477J21.2	ENSG00000214651
7447	12	92860227	92885867	RP11-693J15.5	ENSG00000205056
7448	1	156557648	156557747	AL365181.1	ENSG00000265960
7449	15	93973888	93974446	RP11-164C12.1	ENSG00000258787
7450	5	66675206	67101066	RP11-434D9.1	ENSG00000249364
7451	4	55199059	55222121	RP11-231C18.1	ENSG00000248184
7452	1	104469189	104470428	RP11-97C18.1	ENSG00000225191
7453	8	103400754	103400863	snoU13	ENSG00000238533
7454	2	144398325	144413748	AC092652.1	ENSG00000231758
7455	11	1151580	1222364	MUC5AC	ENSG00000215182
7456	1	156584534	156585080	RP11-284F21.11	ENSG00000272971
7457	2	36526531	36526973	AC009414.1	ENSG00000233752
7458	19	18451397	18480760	PGPEP1	ENSG00000130517
7459	8	103430207	103431181	KB-1980E6.2	ENSG00000253923
7460	1	51847980	51848086	RNU6-877P	ENSG00000206595
7461	4	55242169	55242919	RP11-231C18.2	ENSG00000248518
7462	6	6346698	6623004	LY86-AS1	ENSG00000216863
7463	5	33888161	33888267	RNU6-923P	ENSG00000201623
7464	1	13379149	13381237	RP11-219C24.8	ENSG00000231219
7465	6	112646955	112647951	RP11-506B6.5	ENSG00000216663
7466	1	51927393	51929088	RP11-253A20.1	ENSG00000238140
7467	6	41688134	41701770	RP11-298J23.5	ENSG00000231102
7468	15	94133096	94304028	RP11-739G5.1	ENSG00000258631
7469	2	36581892	36582257	RP11-490M8.1	ENSG00000260025
7470	1	156607575	156610796	RP11-284F21.9	ENSG00000272068
7471	8	103433425	103433550	RNU6ATAC8P	ENSG00000221387
7472	2	144433734	144498863	RP11-434H14.1	ENSG00000257277
7473	4	55306669	55312890	RP11-545H22.1	ENSG00000251264
7474	6	41732030	41732198	RP11-298J23.8	ENSG00000269387
7475	6	112677043	112677916	RP11-506B6.3	ENSG00000219773
7476	8	103463991	103464711	HSPE1P14	ENSG00000271612
7477	1	51983981	52027301	RP11-191G24.1	ENSG00000227070
7478	X	123466768	123467226	RP5-1052M9.4	ENSG00000229825
7479	6	41759148	41759215	RP11-298J23.9	ENSG00000268745
7480	5	33970968	33972733	RP11-1084J3.1	ENSG00000250914
7481	9	124042141	124045008	RP11-477J21.6	ENSG00000239593
7482	X	123822354	123822688	RP3-384D21.2	ENSG00000236880
7483	2	144524189	144533642	CTD-2252P21.1	ENSG00000257226
7484	8	103515981	103516365	RPS12P15	ENSG00000240724
7485	6	41800592	41800731	SNORA8	ENSG00000206977
7486	1	13384735	13384841	RNU6-771P	ENSG00000207511
7487	2	44395108	44471523	PPM1B	ENSG00000138032
7488	1	52004297	52004401	RNU6-1281P	ENSG00000252032
7489	4	113377080	113378941	TOX4P1	ENSG00000248697
7490	X	124062368	124062466	snoU13	ENSG00000238626
7491	1	156611458	156614679	RP11-284F21.10	ENSG00000272405
7492	6	41836360	41837469	RP5-973N23.4	ENSG00000227516
7493	6	112682639	112684039	KRT18P65	ENSG00000215807
7494	1	13411551	13414482	RP11-219C24.6	ENSG00000237700
7495	2	144557036	144577168	AC079584.2	ENSG00000236356
7496	X	124337654	124338187	RP1-161N10.1	ENSG00000232599
7497	4	55469378	55473298	AC006552.1	ENSG00000250456
7498	11	125827795	125828547	RP11-680F20.12	ENSG00000264299
7499	1	202995626	203047868	PPFIA4	ENSG00000143847
7500	2	70523107	70529222	FAM136A	ENSG00000035141
7501	6	41885154	41885264	Y_RNA	ENSG00000207371
7502	1	104615632	104616159	RP11-364B6.2	ENSG00000243500
7503	15	94261771	94614049	CTD-3049M7.1	ENSG00000258754
7504	4	55702327	55711568	RP11-273B19.2	ENSG00000249727
7505	1	40505905	40538321	CAP1	ENSG00000131236
7506	1	156616299	156631216	RP11-284F21.7	ENSG00000229953
7507	8	32028898	32145082	NRG1-IT2	ENSG00000253222
7508	1	52027538	52060569	CALR4P	ENSG00000227742
7509	2	144654831	144654929	Y_RNA	ENSG00000200287
7510	6	41986146	41986252	RNU6-761P	ENSG00000206875
7511	6	112683050	112683141	AL365214.1	ENSG00000266485
7512	8	103545469	103545567	RNU6-1224P	ENSG00000252593
7513	11	125937434	125938496	NAP1L1P1	ENSG00000254759
7514	4	55711734	55725407	RP11-273B19.1	ENSG00000251256
7515	6	41997791	41999120	RP11-533O20.2	ENSG00000223946
7516	2	144694640	144721723	AC016910.1	ENSG00000232377
7517	2	36740398	36740875	RP11-78I14.1	ENSG00000273090
7518	9	124043046	124047808	GSN-AS1	ENSG00000235865
7519	4	113436541	113468037	RP11-402J6.1	ENSG00000249509
7520	8	103633737	103634559	POU5F1P2	ENSG00000253382
7521	6	112686906	112688646	FEM1AP3	ENSG00000217770
7522	1	104615645	104619709	RP11-364B6.1	ENSG00000215869
7523	1	156657487	156661789	RP11-66D17.3	ENSG00000237588
7524	2	62395997	62398298	RP11-270B14.1	ENSG00000271657
7525	12	92924236	92925100	RP11-693J15.3	ENSG00000258262
7526	X	124421625	124421692	AL953885.1	ENSG00000263886
7527	6	42059976	42061997	RP11-7K24.3	ENSG00000261068
7528	2	36816784	36818696	AC007401.1	ENSG00000256845
7529	1	156682004	156682966	RP11-66D17.5	ENSG00000223356
7530	4	55809796	55822985	RP11-463H12.2	ENSG00000248317
7531	X	124460746	124461870	RP13-147D17.1	ENSG00000213489
7532	2	62432961	62433052	MIR5192	ENSG00000266097
7533	1	104695928	104696452	FTLP17	ENSG00000228347
7534	2	145208235	145208545	AC009951.2	ENSG00000213410
7535	1	13429634	13430113	RP11-219C24.10	ENSG00000228229
7536	8	103700545	103701134	KB-1042C11.1	ENSG00000250684
7537	2	36883465	36884084	RP11-294L11.1	ENSG00000270677
7538	7	141503501	141504452	MTND1P3	ENSG00000239648
7539	8	32049544	32049669	RNA5SP262	ENSG00000252261
7540	2	145218679	145221645	AC009951.1	ENSG00000176824
7541	5	33997149	33997829	RP11-1084J3.3	ENSG00000250767
7542	12	92938668	92938763	snoU13	ENSG00000238865
7543	2	62489524	62489806	RN7SL51P	ENSG00000239958
7544	6	42379938	42380134	U3	ENSG00000221252
7545	4	55842326	55842538	RPL38P3	ENSG00000244422
7546	19	41414377	41416754	CTC-490E21.13	ENSG00000198251
7547	X	124796899	124796989	AL645819.1	ENSG00000222518
7548	5	86180048	86180698	CTD-2161E19.1	ENSG00000242477
7549	2	62492130	62492233	snoU13	ENSG00000238809
7550	15	28000021	28344504	OCA2	ENSG00000104044
7551	12	93251855	93253049	RP11-603K19.1	ENSG00000258012
7552	6	42467448	42467760	RP11-256G5.1	ENSG00000237107
7553	5	124704456	124705035	RP11-395P13.1	ENSG00000248147
7554	8	86568695	86575726	REXO1L1P	ENSG00000205176
7555	1	156905923	156906036	MIR765	ENSG00000211581
7556	11	125970400	125972308	RP11-673E11.2	ENSG00000261257
7557	X	125243745	125249545	RP11-13E5.2	ENSG00000237208
7558	9	124137519	124214455	RP11-162D16.2	ENSG00000227355
7559	7	141511605	141512057	MYL6P4	ENSG00000240677
7560	2	62576083	62577874	RP11-642D6.1	ENSG00000270335
7561	2	37094541	37094638	RNU6-577P	ENSG00000252756
7562	4	55877000	55877099	AC111194.1	ENSG00000264332
7563	5	124705858	124706617	RP11-395P13.3	ENSG00000249677
7564	1	13607431	13611550	XX-FW84067D5.1	ENSG00000204485
7565	1	105976616	105977443	RP11-414B7.1	ENSG00000225036
7566	1	156955549	156955841	RN7SL612P	ENSG00000266160
7567	6	42473238	42473344	snoU13	ENSG00000238611
7568	11	126030609	126045930	RP11-50B3.2	ENSG00000254833
7569	8	32114012	32114139	RNA5SP263	ENSG00000200246
7570	6	112797740	112802838	RP1-105O18.1	ENSG00000232299
7571	5	34158226	34158872	RP11-1250I15.3	ENSG00000271771
7572	4	55898132	55898238	RNU6-410P	ENSG00000252815
7573	3	155755490	156256545	KCNAB1	ENSG00000169282
7574	8	103745863	103745947	AP003356.1	ENSG00000266799
7575	5	124712527	124713132	RP11-395P13.4	ENSG00000250402
7576	2	62690262	62691205	AC093159.1	ENSG00000228541
7577	6	42631900	42632006	RNU6-890P	ENSG00000206848
7578	2	171669723	171717661	GAD1	ENSG00000128683
7579	1	157029024	157030554	RP11-110J1.2	ENSG00000237842
7580	7	141559618	141559669	AC073647.1	ENSG00000265523
7581	8	32298262	32300241	NRG1-IT3	ENSG00000254049
7582	5	1544222	1551825	CTD-2245E15.3	ENSG00000251532
7583	2	37186505	37186605	RNU6-846P	ENSG00000252518
7584	4	55919227	55958701	RP11-530I17.1	ENSG00000250646
7585	2	145275664	145279058	ZEB2-AS1	ENSG00000238057
7586	6	112797928	112798029	snoU13	ENSG00000239095
7587	6	42694972	42695438	ATP6V0CP3	ENSG00000213435
7588	11	126049392	126049593	RP11-50B3.1	ENSG00000254771
7589	5	86263138	86433529	RP11-72L22.1	ENSG00000249061
7590	8	103817745	103822199	KB-1732A1.1	ENSG00000253669
7591	8	86747543	86749570	REXO1L11P	ENSG00000223524
7592	7	141562660	141563537	OR9A3P	ENSG00000240031
7593	2	62718313	62718601	RN7SL18P	ENSG00000241625
7594	2	37375673	37376447	AC007899.3	ENSG00000224891
7595	6	112853384	112853487	AL357514.1	ENSG00000252215
7596	5	124718552	124719148	RP11-395P13.5	ENSG00000250269
7597	2	62734680	62734958	AC107083.1	ENSG00000233702
7598	4	55929902	55930196	RN7SL424P	ENSG00000244034
7599	6	112937905	112939082	RP1-159M24.1	ENSG00000225580
7600	11	126078506	126078922	RP11-50B3.4	ENSG00000254694
7601	6	6347314	6347614	SNAPC5P1	ENSG00000241216
7602	5	124731072	124731673	RP11-395P13.6	ENSG00000251554
7603	X	125605688	125606386	RP11-10B2.1	ENSG00000230916
7604	8	86756718	86758745	REXO1L10P	ENSG00000255940
7605	1	157043049	157044495	KRT8P45	ENSG00000224520
7606	4	56081793	56082079	RN7SL822P	ENSG00000239545
7607	7	62693413	62694623	PHKG1P1	ENSG00000226075
7608	7	141586948	141587892	OR9A1P	ENSG00000237621
7609	6	113147141	113147672	RP11-505K1.1	ENSG00000271498
7610	5	124828954	124937920	RP11-756H20.1	ENSG00000260192
7611	11	126084155	126084373	RNU4-86P	ENSG00000222067
7612	17	28210024	28210127	snoU13	ENSG00000239129
7613	6	6534930	6535864	CNN3P1	ENSG00000218868
7614	4	56085511	56086140	RP11-530I17.2	ENSG00000250812
7615	6	42908102	42916098	RP3-475N16.1	ENSG00000231113
7616	5	66759637	66771420	RP11-357D18.1	ENSG00000250978
7617	8	32623643	32625477	RP11-1002K11.1	ENSG00000272327
7618	5	34164803	34244901	RP11-1023L17.1	ENSG00000215158
7619	11	126114930	126115175	RN7SL351P	ENSG00000240098
7620	6	113292695	113292801	RNU6-1163P	ENSG00000201386
7621	5	125198439	125198886	CTC-394G3.1	ENSG00000249950
7622	5	86398420	86398663	RN7SKP34	ENSG00000251951
7623	11	126148152	126148472	RPL35AP26	ENSG00000243607
7624	11	104864962	104893895	CASP5	ENSG00000137757
7625	6	113332139	113332617	FCF1P10	ENSG00000218490
7626	6	6680542	6683866	RP1-80N2.3	ENSG00000261211
7627	X	125606711	125606867	MTND4LP1	ENSG00000231501
7629	7	142941186	142967947	GSTK1	ENSG00000197448
7630	5	86410696	86410771	MIR4280	ENSG00000265919
7631	8	86999552	87166457	ATP6V0D2	ENSG00000147614
7632	5	125221978	125222446	CTC-394G3.2	ENSG00000249904
7633	5	1568637	1594735	SDHAP3	ENSG00000185986
7634	7	141611017	141611743	OR9N1P	ENSG00000244292
7635	17	48463506	48463607	Y_RNA	ENSG00000206824
7636	6	6692977	6711235	RP1-80N2.2	ENSG00000226281
7637	4	56160657	56160765	RNU6-746P	ENSG00000206839
7638	6	42924083	42924503	RPL24P4	ENSG00000181524
7639	X	1733894	1761974	ASMT	ENSG00000196433
7640	1	106130197	106161580	RP11-251P6.1	ENSG00000230768
7641	5	125302470	125303778	RPSAP37	ENSG00000241888
7642	8	32769011	32769116	RNU6-663P	ENSG00000212407
7643	17	48473799	48475249	RP1-117B12.4	ENSG00000253102
7644	4	56179178	56180091	RP11-148K14.1	ENSG00000250464
7645	6	113543368	113545274	SOCS5P5	ENSG00000216904
7646	8	103866683	103868303	KB-1254G8.1	ENSG00000253385
7647	2	86813263	86813353	AC015971.1	ENSG00000252453
7648	X	125606792	125606865	AL359973.1	ENSG00000264338
7649	14	51104412	51104699	RN7SL452P	ENSG00000243103
7650	7	62693493	62702023	RP5-905H7.3	ENSG00000244550
7651	6	6758509	6759524	RP3-470L22.1	ENSG00000224532
7652	5	125412493	125615493	RP11-114J13.1	ENSG00000248752
7653	11	126151552	126151649	snoU13	ENSG00000238855
7654	14	51129229	51129896	RP11-248J18.2	ENSG00000269906
7655	17	48527540	48528086	MRPS21P9	ENSG00000262759
7656	8	32853696	32902373	RP11-11N9.4	ENSG00000247134
7657	2	145324002	145337001	AC010090.1	ENSG00000232606
7658	8	103904104	103905836	KB-1507C5.3	ENSG00000253263
7659	2	62759718	62760194	AC092155.1	ENSG00000229503
7660	11	126162817	126164149	RP11-712L6.7	ENSG00000254905
7661	6	43001635	43002143	RP1-20C7.6	ENSG00000272223
7662	6	6795148	6795635	BTF3P7	ENSG00000219986
7663	5	125515270	125529543	CTC-339D2.1	ENSG00000248107
7664	7	62701968	62708699	SEPT7P4	ENSG00000240651
7665	4	56217979	56218575	FCF1P8	ENSG00000251111
7666	6	113678205	113689146	RP11-437J19.1	ENSG00000223811
7667	8	103935599	103936483	RPL5P24	ENSG00000244052
7668	5	86590008	86590290	RN7SL629P	ENSG00000241243
7669	7	141940559	141946886	MOXD2P	ENSG00000240268
7670	11	126413842	126480843	KIRREL3-AS1	ENSG00000257271
7671	11	48997053	49003247	TRIM51GP	ENSG00000220948
7672	1	157098154	157098463	CYCSP52	ENSG00000235700
7673	15	94368287	94368388	RP11-76E17.1	ENSG00000258627
7674	6	43003936	43004238	RN7SL403P	ENSG00000240625
7675	19	41430124	41456565	CYP2B7P	ENSG00000256612
7676	1	13632348	13635279	XX-FW84067D5.2	ENSG00000224581
7677	6	113749742	113754623	RP1-124C6.1	ENSG00000232316
7678	9	124207269	124262306	GGTA1P	ENSG00000204136
7679	5	125532528	125532608	AC010235.1	ENSG00000265637
7680	17	48580773	48585689	RP11-94C24.6	ENSG00000249451
7681	1	157155178	157157195	RP11-71G12.1	ENSG00000229961
7682	19	13250431	13251961	CTC-250I14.3	ENSG00000267512
7683	X	125606868	125607264	MTND4P24	ENSG00000232177
7684	6	39297766	39693181	KIF6	ENSG00000164627
7685	6	43042069	43042477	RP11-387M24.5	ENSG00000272170
7686	6	6901255	6918948	RP3-429O6.1	ENSG00000223342
7687	11	126522747	126551999	RP11-115C10.1	ENSG00000254607
7688	1	106240661	106240840	SEPT2P1	ENSG00000227850
7689	5	125769197	125826063	RP11-517I3.1	ENSG00000250602
7690	1	157202021	157206926	RP11-85G21.1	ENSG00000228239
7691	15	94380840	94396210	RP11-76E17.2	ENSG00000259123
7692	2	62779598	62780569	PSAT1P2	ENSG00000232144
7693	1	203698709	203698833	SNORA77	ENSG00000221643
7694	7	62723443	62723834	RP5-905H7.4	ENSG00000236638
7695	8	103962695	103962792	Y_RNA	ENSG00000201216
7696	17	48614655	48616115	RP11-94C24.8	ENSG00000250286
7697	6	6938835	6939130	RN7SL554P	ENSG00000240936
7698	6	113836189	113836285	AL513123.1	ENSG00000222677
7699	19	13263885	13265007	CTC-250I14.6	ENSG00000267598
7700	8	103973041	103973148	AP003354.1	ENSG00000265898
7701	1	157250506	157252858	RP11-85G21.3	ENSG00000271736
7702	6	43181539	43191598	RP3-330M21.5	ENSG00000245261
7703	X	125863087	125864209	RP11-375A20.1	ENSG00000226414
7704	1	203774749	203775391	RP11-397P13.6	ENSG00000227417
7705	6	113852320	113864995	RP11-346D19.1	ENSG00000236347
7706	6	6993424	6995787	RP11-556O15.1	ENSG00000203498
7707	1	52172810	52173809	GAPDHP51	ENSG00000236973
7708	1	157257493	157257843	RP11-85G21.2	ENSG00000237189
7709	15	94406338	94421585	RP11-76E17.3	ENSG00000258476
7710	10	87359312	88126250	GRID1	ENSG00000182771
7711	8	103991013	104012412	KB-1507C5.4	ENSG00000254281
7712	11	49007423	49013433	TRIM53CP	ENSG00000254764
7713	5	66760350	66760436	AC079467.1	ENSG00000222939
7714	7	62751896	62764434	ZNF733P	ENSG00000185037
7715	6	43277969	43278095	RP11-480N24.3	ENSG00000219222
7716	1	106433315	106434052	RP11-90H3.2	ENSG00000237897
7717	6	7040693	7040779	snoU13	ENSG00000251762
7718	6	113902703	113903149	RP11-367G18.2	ENSG00000218208
7719	8	104028972	104029817	NPM1P52	ENSG00000253663
7720	2	37421525	37421880	AC007390.4	ENSG00000233159
7721	2	87098424	87149816	ANAPC1P1	ENSG00000233673
7722	1	157599729	157600518	RP4-801G22.2	ENSG00000236731
7723	11	126790084	126810555	RP11-688I9.4	ENSG00000254938
7724	5	66904482	66904958	RP11-83M16.1	ENSG00000239870
7725	4	56230138	56262014	SRD5A3-AS1	ENSG00000249700
7726	19	13268773	13269602	CTC-250I14.1	ENSG00000213253
7727	6	7183316	7185520	RP11-405O10.2	ENSG00000225092
7728	17	48633568	48639469	CACNA1G-AS1	ENSG00000250107
7729	5	125888994	125889094	RNU6-963P	ENSG00000200347
7730	1	247875115	247887066	RP11-634B7.5	ENSG00000239395
7731	1	13839715	13842765	RP4-597A16.2	ENSG00000259961
7732	1	203804713	203805040	RP11-397P13.7	ENSG00000223505
7733	11	49035495	49037446	RP11-56P9.11	ENSG00000205044
7734	2	62788193	62788558	RSL24D1P2	ENSG00000230595
7735	5	125963709	125964011	RP11-395C3.1	ENSG00000230929
7736	2	37436018	37439820	RP11-423P10.2	ENSG00000272054
7737	11	126810642	126814986	KIRREL3-AS2	ENSG00000254960
7738	6	7187815	7187919	Y_RNA	ENSG00000201483
7739	8	104032415	104033656	KB-1639H6.2	ENSG00000254236
7740	6	43295872	43296214	RP11-480N24.4	ENSG00000220614
7741	15	94425311	94429972	RP11-76E17.4	ENSG00000258831
7742	2	37552483	37553940	AC007391.2	ENSG00000232028
7743	1	106434361	106436139	RP11-90H3.1	ENSG00000232952
7744	5	66928094	66942617	RP11-83M16.5	ENSG00000249736
7745	6	7276264	7299105	RP11-69L16.4	ENSG00000238221
7746	1	13881496	13882189	RP4-597A16.3	ENSG00000215909
7747	8	104097879	104098818	MTND1P5	ENSG00000253795
7748	5	1594741	1611582	CTD-2012J19.3	ENSG00000271119
7749	15	94440141	94440256	AC103996.1	ENSG00000222409
7750	6	113924117	113924227	AL357519.2	ENSG00000266650
7751	5	125999029	125999260	RP11-772E11.1	ENSG00000213630
7752	22	17618401	17646177	CECR5	ENSG00000069998
7753	1	203841702	203843315	KRT8P29	ENSG00000236430
7754	3	125443382	125444288	OR7E93P	ENSG00000228963
7755	1	247938212	247939138	OR9H1P	ENSG00000228336
7756	2	62817390	62889789	AC092155.4	ENSG00000226622
7757	2	37558913	37559019	RNU6-939P	ENSG00000207364
7758	15	94443930	94527379	CTD-2643K12.2	ENSG00000258785
7759	19	18485541	18499986	GDF15	ENSG00000130513
7760	5	126073130	126073687	HSPE1P10	ENSG00000249768
7761	11	49092304	49092552	CTD-2132H18.3	ENSG00000254801
7762	6	7331519	7331909	RP11-69L16.3	ENSG00000219375
7763	6	113944737	113971276	RP11-367G18.1	ENSG00000230943
7764	2	37662653	37662751	RNU6-1116P	ENSG00000253078
7765	6	43331217	43331957	RPS2P28	ENSG00000179157
7766	1	13949679	13949779	RNA5SP41	ENSG00000222952
7767	1	52174734	52175612	SLC25A6P3	ENSG00000232846
7768	7	62787052	62814704	RP5-905H7.9	ENSG00000226587
7769	1	106470246	106565834	RP11-24P14.1	ENSG00000233047
7770	5	126087655	126112178	RP11-434D11.4	ENSG00000251072
7771	3	125453138	125454041	OR7E53P	ENSG00000239978
7772	2	37827279	37873841	AC006369.2	ENSG00000236213
7773	1	157606090	157610091	RP4-801G22.3	ENSG00000233712
7774	1	13950397	13950497	AL359771.1	ENSG00000266358
7775	7	150065278	150071133	REPIN1	ENSG00000214022
7776	1	247990788	247991804	HSD17B7P1	ENSG00000232908
7777	8	104101024	104102899	KB-1639H6.7	ENSG00000253556
7778	11	49103459	49104649	UBTFL7	ENSG00000229361
7779	6	7339072	7339801	RP11-69L16.5	ENSG00000220472
7780	5	96149731	96271513	CTD-2260A17.2	ENSG00000247121
7781	2	145425534	145940216	TEX41	ENSG00000226674
7782	X	100543905	100543999	Y_RNA	ENSG00000222203
